show_id,type,title,country,date_added,release_year,rating,duration,Genre,description,Platform
s1123,Movie,Peter Pan: Return to Never Land,United States,2019-11-12,2002,G,77,Family,Wendy's daughter Jane is whisked away to Never Land by Captain Hook.,Disney
s1123,Movie,Peter Pan: Return to Never Land,Canada,2019-11-12,2002,G,77,Action-Adventure,Wendy's daughter Jane is whisked away to Never Land by Captain Hook.,Disney
s1123,Movie,Peter Pan: Return to Never Land,Canada,2019-11-12,2002,G,77,Animation,Wendy's daughter Jane is whisked away to Never Land by Captain Hook.,Disney
s1123,Movie,Peter Pan: Return to Never Land,Canada,2019-11-12,2002,G,77,Family,Wendy's daughter Jane is whisked away to Never Land by Captain Hook.,Disney
s1123,Movie,Peter Pan: Return to Never Land,Australia,2019-11-12,2002,G,77,Action-Adventure,Wendy's daughter Jane is whisked away to Never Land by Captain Hook.,Disney
s1123,Movie,Peter Pan: Return to Never Land,Australia,2019-11-12,2002,G,77,Animation,Wendy's daughter Jane is whisked away to Never Land by Captain Hook.,Disney
s1123,Movie,Peter Pan: Return to Never Land,Australia,2019-11-12,2002,G,77,Family,Wendy's daughter Jane is whisked away to Never Land by Captain Hook.,Disney
s1124,Movie,Phantom of the Megaplex,United States,2019-11-12,2000,TV-G,89,Comedy,A phantom haunting a local megaplex threatens to ruin a premiere gala.,Disney
s1124,Movie,Phantom of the Megaplex,United States,2019-11-12,2000,TV-G,89,Coming of Age,A phantom haunting a local megaplex threatens to ruin a premiere gala.,Disney
s1124,Movie,Phantom of the Megaplex,Canada,2019-11-12,2000,TV-G,89,Comedy,A phantom haunting a local megaplex threatens to ruin a premiere gala.,Disney
s1124,Movie,Phantom of the Megaplex,Canada,2019-11-12,2000,TV-G,89,Coming of Age,A phantom haunting a local megaplex threatens to ruin a premiere gala.,Disney
s1125,TV Show,Phil of the Future,United States,2019-11-12,2003,TV-G,900,Comedy,Phil is just your average teenager – whose family crash-landed here from the year 2121.,Disney
s1125,TV Show,Phil of the Future,United States,2019-11-12,2003,TV-G,900,Coming of Age,Phil is just your average teenager – whose family crash-landed here from the year 2121.,Disney
s1125,TV Show,Phil of the Future,United States,2019-11-12,2003,TV-G,900,Kids,Phil is just your average teenager – whose family crash-landed here from the year 2121.,Disney
s1126,TV Show,Phineas and Ferb,United States,2019-11-12,2007,TV-G,1800,Action-Adventure,Phineas and Ferb have big summertime adventures with friends.,Disney
